id,team,stadium,lat,lng,population_hometown
1,アルビレックス新潟,デンカビッグスワンスタジアム,37.9121,139.0605,
2,浦和レッズ,埼玉スタジアム2002,35.90311,139.71760,
3,鹿島アントラーズ,メルカリスタジアム,35.991736,140.640533,
4,東京ヴェルディ,味の素スタジアム,35.66453,139.52720,
5,柏レイソル,三協フロンテア柏スタジアム,35.86889,139.97,
6,FC東京,味の素スタジアム,35.66453,139.52720,
7,FC町田ゼルビア,町田GIONスタジアム,35.54604,139.44619,
8,川崎フロンターレ,Uvanceとどろきスタジアム by Fujitsu,35.59944,139.66611,
9,横浜Fマリノス,日産スタジアム,35.51014,139.60640,
10,横浜FC,ニッパツ三ツ沢球技場,35.4621,139.6204,
11,湘南ベルマーレ,レモンガススタジアム平塚,35.33084,139.32632,
12,清水エスパルス,IAIスタジアム日本平,35.00237,138.49582,
13,名古屋グランパス,豊田スタジアム,35.0841,137.15577,
14,京都サンガF.C,サンガスタジアム by KYOCERA,34.89431,135.73743,
15,ガンバ大阪,パナソニック スタジアム 吹田,34.80322,135.53790,
16,セレッソ大阪,ヨドコウ桜スタジアム,34.73367,135.55114,
17,ヴィッセル神戸,ノエビアスタジアム,34.66581,135.18845,
18,ファジアーノ岡山,JFE晴れの国スタジアム,34.67944,133.91394,
19,サンフレッチェ広島,エディオンピースウィング広島,34.34624,132.46870,
20,アビスパ福岡,ベスト電器スタジアム,33.60674,130.41854,
21,ブラウブリッツ秋田,name,39.7161,140.1328,
22,北海道コンサドーレ札幌,大和ハウス プレミストドーム,43.0173,141.4144,
23,愛媛FC,ニンジニアスタジアム,33.8444,132.7651,
24,FC今治,アシックス里山スタジアム,34.04056,132.95867,
25,藤枝MYFC,藤枝総合運動公園サッカー場,34.8111,138.2500,
26,いわきFC,ハワイアンズスタジアムいわき,37.0548,140.8539,
27,ジェフユナイテッド市原・千葉,フクダ電子アリーナ,34.6213,140.1035,
28,ジュビロ磐田,ヤマハスタジアム,34.6942,137.6943,
29,カターレ富山,富山県総合運動公園陸上競技場,36.6981,137.1922,
30,水戸ホーリーホック,ケーズデンキスタジアム水戸,36.4012,140.4518,
31,モンテディオ山形,NDソフトスタジアム山形,38.2539,140.3627,
32,大分トリニータ,クラサスドーム大分,33.2253,131.6113,
33,RB大宮アルディージャ,NACK5スタジアム大宮,35.9286,139.6408,
34,レノファ山口FC,維新みらいふスタジアム,34.1850,131.4707,
35,ロアッソ熊本,えがお健康スタジアム,32.8031,130.7876,
36,サガン鳥栖,駅前不動産スタジアム,33.3571,130.5054,
37,徳島ヴォルティス,鳴門・大塚スポーツパークポカリスエットスタジアム,34.0658,134.5593,
38,V・ファーレン長崎,PEACE STADIUM Connected by SoftBank,32.8350,129.9286,
39,ベガルタ仙台,ユアテックスタジアム仙台,38.2638,140.8719,
40,ヴァンフォーレ甲府,JIT リサイクルインク スタジアム,35.6449,138.5678,
41,アスルクラロ沼津,愛鷹広域公園多目的競技場,35.1033,138.8600,
42,福島ユナイテッドFC,とうほう・みんなのスタジアム,37.7531,140.4637,
43,ガイナーレ鳥取,Axisバードスタジアム,35.5030,134.2070,
44,FC岐阜,岐阜メモリアルセンター長良川競技場,35.4256,136.7493,
45,ギラヴァンツ北九州,ミクニワールドスタジアム北九州,33.8650,130.8740,
46,鹿児島ユナイテッドFC,白波スタジアム,31.5950,130.5570,
47,カマタマーレ讃岐,Pikaraスタジアム,34.3400,134.0460,
48,高知ユナイテッドSC,春野総合運動公園陸上競技場,33.5730,133.6860,
49,松本山雅FC,サンプロ アルウィン,36.2300,137.9570,
50,AC長野パルセイロ,長野Uスタジアム,36.6030,138.1650,
51,奈良クラブ,ロートフィールド奈良,34.6920,135.8230,
52,FC大阪,東大阪市花園ラグビー場　第2グラウンド,34.6550,135.5170,
53,FC琉球,沖縄県総合運動公園陸上競技場,26.2128,127.6810,
54,SC相模原,相模原ギオンスタジアム,35.5650,139.3800,
55,テゲバジャーロ宮崎,いちご宮崎新富サッカー場,31.8570,131.4200,
56,ヴァンラーレ八戸,プライフーズスタジアム,40.5100,141.4880,
57,ツエーゲン金沢,金沢ゴーゴーカレースタジアム,36.5850,136.6560,
58,ザスパクサツ群馬,正田醤油スタジアム群馬,36.4860,139.0800,
59,栃木シティ,CITY FOOTBALL STATION,36.5550,139.8860,
60,栃木SC,カンセキスタジアムとちぎ,36.5144,139.8860,
